¿Quién se ha llevado mi queso?|Spencer Johnson
Piense y hágase rico|Napoleón Hill
Poder sin límites|Anthony Robbins
Los 7 hábitos de la gente altamente efectiva|Stephen Covey
Cuando para amar es tarde|Daniel Hernández
El árbol rojo del multinivel y las ventas directas|Mario Rodríguez Padrés
Libera tu carga|Estela Alvarado
Inteligencia emocional|Daniel Goleman
El poder de la intención|Wayne Dyer
Sincronicidad|Joseph Jaworski
Sobrevivir para contarlo|Immaculée Ilibagiza
Nos veremos en la cumbre|Zig Ziglar
Colorín colorado, este cuento, ¡no se ha acabado!|Odín Dupeyrón
Fracasar o triunfar: tu elección|Daniel Hernández
Mi primer millón|Charles Albert Poissant y Christian Godefroy
La ciencia de hacerse rico|Wallace D. Wattles
7 estrategias para alcanzar riqueza y felicidad - Jim Rohn
La matriz divina|Greg Braden
El toque de Midas|Robert Kiyosaki y Donald Trump
Fueras de serie|Malcolm Gladwell
Las 21 leyes irrefutables del liderazgo|John C. Maxwell
El negocio del siglo XXI|Robert Kiyosaki
El ABC para crear un equipo de negocios exitoso|Blair Singer
Despertando al gigante interior|Anthony Robbins
El secreto|Rhonda Byrne
Después del día diez|Carlitos Páez
El líder que no tenía cargo|Robin Sharma
Morir para ser yo|Anita Moorjani
Ensanchar la vida|Jorge Font
El hombre más rico de Babilonia|George S. Clason
Por favor sea feliz|Andrew Matthews
Vendedores Perros|Blair Singer
Caldo de pollo para el alma|Canfield y Hansen
El vendedor más grande del mundo|Og Mandino
Ser, hacer y tener|Michel Domit
Los 7 hábitos de la gente altamente efectiva|Stephen Covey
Tu puedes sanar tu vida|Louise Hay
Sincrodestino|Deepak Chopra
La comunicación eficaz|Dr. Lair Ribeiro
Liderazgo: el poder de la inteligencia emocional|Daniel Goleman
